groupID,user1,user2,user3,user4,user5,user6,user7,user8
99,869,275,752,436,570,760,0,0
100,327,620,89,362,759,551,0,0
101,544,907,442,10,242,762,0,0
102,339,935,880,351,142,884,0,0
103,771,541,418,182,701,660,0,0
104,154,936,335,330,722,264,0,0
105,668,916,325,7,414,58,0,0
106,266,115,55,64,628,347,0,0
107,834,550,793,841,458,652,0,0
108,163,290,780,913,136,281,0,0
109,195,736,356,6,775,422,0,0
110,622,743,479,644,462,510,0,0
111,618,650,613,37,434,27,0,0
112,78,512,216,925,778,465,0,0
113,82,749,777,543,536,312,0,0
114,48,629,539,768,861,487,0,0
115,239,451,373,229,601,94,0,0
116,87,342,28,341,375,671,0,0
117,860,730,71,4,334,370,0,0
118,65,547,25,413,315,283,0,0
119,718,329,751,843,518,545,0,0
120,409,890,338,557,792,215,0,0
121,455,402,922,234,724,425,788,0
122,588,262,84,689,445,285,231,0
123,398,368,761,530,813,364,713,0
124,160,696,317,106,302,586,97,0
125,223,249,537,594,228,748,527,0
126,72,164,615,291,345,919,132,0
127,295,627,837,146,583,878,337,0
128,435,702,211,122,478,711,802,0
129,50,658,694,41,112,466,899,0
130,931,758,651,657,580,299,219,0
131,862,558,525,523,150,707,619,0
132,741,654,51,427,243,703,188,0
133,318,22,53,488,553,535,95,0
134,755,52,272,199,939,538,648,0
135,143,505,695,926,822,603,77,0
136,128,735,663,801,20,559,404,0
137,766,817,119,554,575,509,385,0
138,313,408,372,360,606,715,691,0
139,574,506,489,864,110,854,444,0
140,823,221,556,581,394,863,90,0
141,292,640,286,885,296,592,328,0
142,610,32,895,897,513,113,569,0
143,361,625,16,439,746,80,821,0
144,457,252,846,210,452,314,129,0
145,433,250,866,666,100,355,49,0
146,767,253,493,332,485,47,270,0
147,46,870,515,520,241,101,369,0
148,278,732,393,839,366,828,720,0
149,304,344,626,123,882,549,456,0
150,212,733,683,309,765,225,280,0
151,5,721,174,190,906,508,653,0
152,598,685,656,564,877,378,205,0
153,448,59,772,108,343,565,617,0
154,849,300,319,230,389,519,200,0
155,14,522,376,441,794,19,900,0
156,635,236,887,83,268,480,829,0
157,232,166,447,111,224,141,117,0
158,170,507,909,717,66,943,3,0
159,630,432,359,639,477,757,172,0
160,516,29,248,305,69,902,795,0
161,681,107,591,57,661,502,400,383
162,904,307,791,534,725,596,410,540
163,397,429,98,406,590,641,675,23
164,796,386,859,589,665,260,740,624
165,840,181,179,93,643,616,842,811
166,808,251,561,279,294,428,918,75
167,499,783,157,237,470,365,806,45
168,633,921,99,467,130,220,76,263
169,834,852,286,551,131,43,703,939
170,698,520,938,465,907,301,186,26
171,18,220,829,76,894,113,152,627
172,660,215,33,510,821,782,108,798
173,5,350,689,607,698,849,770,365
174,920,6,731,566,684,256,537,841
175,230,98,419,814,281,13,367,764
176,859,729,280,462,413,538,165,148
177,304,249,929,68,369,508,193,253
178,795,715,584,243,292,446,880,469
179,278,57,510,533,31,665,885,843
180,454,323,213,428,674,435,447,700
181,488,394,629,45,460,103,245,898
182,763,476,803,838,608,850,387,558
183,532,815,595,259,517,308,156,294
184,76,484,220,610,586,867,617,741
185,488,793,759,503,276,230,819,684
186,396,10,802,596,229,210,435,791
187,519,42,158,261,16,92,79,574
188,44,692,255,633,252,174,656,9
189,294,116,848,342,221,756,260,846
190,85,916,870,22,797,553,738,357
191,106,92,781,190,643,357,137,518
192,252,675,426,191,37,501,473,725
193,220,403,522,205,727,733,356,581
194,406,684,471,184,381,547,289,455
195,250,556,811,725,203,114,37,315
196,890,448,701,845,638,502,43,499
197,928,913,565,184,120,209,489,307
198,668,190,435,910,301,29,804,37
199,481,546,153,828,601,75,533,122
200,498,579,779,141,904,644,242,913
