ID	groupID	item1	item2	item3	item4	item5	item6	item7	item8	item9	item10
193	64	409	319	481	358	65	101	198	314	286	133
194	104	319	358	170	484	273	23	409	286	314	512
195	144	128	314	175	484	481	319	65	51	23	200
196	184	51	484	314	319	409	65	358	99	57	303
198	34	484	128	604	358	428	319	57	516	65	144
199	74	319	13	604	128	99	358	57	409	484	516
200	114	484	319	128	65	51	101	409	358	481	428
201	154	314	319	115	409	484	23	65	475	170	317
202	194	319	65	51	484	409	358	128	99	175	516
203	26	170	196	316	514	286	317	475	9	97	10
204	66	170	484	13	475	65	99	604	182	122	23
205	106	51	65	273	13	409	170	128	200	90	173
206	146	65	319	358	484	101	128	51	57	316	99
207	186	314	51	484	319	175	65	273	128	179	173
208	36	13	65	51	319	57	484	314	303	175	174
209	76	319	65	175	128	314	99	484	57	170	516
210	116	319	99	484	314	13	198	604	51	303	170
211	156	65	13	175	51	319	57	484	128	358	188
212	196	51	13	319	65	314	174	175	484	128	170
