681	 107	 591	 57	 661	 502	 400	 383

904	 307	 791	 534	 725	 596	 410	 540
Supercop (1992)	 Maltese Falcon, The (1941)	 3 Ninjas: High Noon At Mega Mountain (1998)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Brazil (1985)	 Supercop (1992)	 Jack (1996)	 Maltese Falcon, The (1941)
Spawn (1997)	 Trainspotting (1996)	 Snow White and the Seven Dwarfs (1937)	 Legends of the Fall (1994)	 Princess Bride, The (1987)	 Legends of the Fall (1994)	 Wings of Desire (1987)	 Everyone Says I Love You (1996)
Full Metal Jacket (1987)	 Ulee's Gold (1997)	 Mighty Aphrodite (1995)	 Children of the Corn: The Gathering (1996)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Snow White and the Seven Dwarfs (1937)	 Spawn (1997)	 Cat on a Hot Tin Roof (1958)
Right Stuff, The (1983)	 It Happened One Night (1934)	 What's Eating Gilbert Grape (1993)	 Brazil (1985)	 Legends of the Fall (1994)	 Spawn (1997)	 Golden Earrings (1947)	 Delicatessen (1991)
Nikita (La Femme Nikita) (1990)	 Jack (1996)	 Disclosure (1994)	 Everyone Says I Love You (1996)	 Patton (1970)	 First Wives Club, The (1996)	 Haunted World of Edward D. Wood Jr., The (1995)	 Jack (1996)
Mr. Smith Goes to Washington (1939)	 Mighty Aphrodite (1995)	 Priest (1994)	 Bringing Up Baby (1938)	 GoodFellas (1990)	 Maltese Falcon, The (1941)	 Clockwork Orange, A (1971)	 It Happened One Night (1934)
Heavy Metal (1981)	 Local Hero (1983)	 Taxi Driver (1976)	 What's Eating Gilbert Grape (1993)	 Taxi Driver (1976)	 Local Hero (1983)	 Mr. Smith Goes to Washington (1939)	 Silence of the Lambs, The (1991)
What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 Haunted World of Edward D. Wood Jr., The (1995)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Princess Bride, The (1987)	 Trainspotting (1996)	 Cinema Paradiso (1988)
Blues Brothers, The (1980)	 North by Northwest (1959)	 Clockwork Orange, A (1971)	 GoodFellas (1990)	 Heat (1995)	 Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 Better Off Dead... (1985)
Snow White and the Seven Dwarfs (1937)	 Pump Up the Volume (1990)	 Heat (1995)	 Shining, The (1980)	 Much Ado About Nothing (1993)	 Clockwork Orange, A (1971)	 2001: A Space Odyssey (1968)	 North by Northwest (1959)

397	 429	 98	 406	 590	 641	 675	 23
Taxi Driver (1976)	 Heat (1995)	 Priest (1994)	 Mirror Has Two Faces, The (1996)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Mighty Aphrodite (1995)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Legends of the Fall (1994)
Brazil (1985)	 What's Eating Gilbert Grape (1993)	 Dances with Wolves (1990)	 Brazil (1985)	 Brazil (1985)	 Legends of the Fall (1994)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)
What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 Dead Poets Society (1989)	 Patton (1970)	 Evita (1996)	 What's Eating Gilbert Grape (1993)	 Heat (1995)	 Snow White and the Seven Dwarfs (1937)
3 Ninjas: High Noon At Mega Mountain (1998)	 In the Name of the Father (1993)	 Cinema Paradiso (1988)	 What's Eating Gilbert Grape (1993)	 Mask, The (1994)	 Cinema Paradiso (1988)	 Taxi Driver (1976)	 Princess Bride, The (1987)
Cable Guy, The (1996)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Legends of the Fall (1994)	 Die Hard (1988)	 Jane Eyre (1996)	 Brazil (1985)	 Emma (1996)	 Brazil (1985)
Dances with Wolves (1990)	 Ulee's Gold (1997)	 Patton (1970)	 Legends of the Fall (1994)	 Four Weddings and a Funeral (1994)	 Spawn (1997)	 Everyone Says I Love You (1996)	 GoodFellas (1990)
Everyone Says I Love You (1996)	 Taxi Driver (1976)	 Turbo: A Power Rangers Movie (1997)	 Everyone Says I Love You (1996)	 On Golden Pond (1981)	 Jack (1996)	 Mighty Aphrodite (1995)	 Jack (1996)
Maltese Falcon, The (1941)	 As Good As It Gets (1997)	 Brazil (1985)	 Shaggy Dog, The (1959)	 Cable Guy, The (1996)	 Wings of Desire (1987)	 Twister (1996)	 Haunted World of Edward D. Wood Jr., The (1995)
Patton (1970)	 Mighty Aphrodite (1995)	 So I Married an Axe Murderer (1993)	 Mars Attacks! (1996)	 Legends of the Fall (1994)	 Everyone Says I Love You (1996)	 Supercop (1992)	 Raiders of the Lost Ark (1981)
Batman Forever (1995)	 It Happened One Night (1934)	 Unforgiven (1992)	 Aladdin (1992)	 What's Eating Gilbert Grape (1993)	 Snow White and the Seven Dwarfs (1937)	 Ulee's Gold (1997)	 Mighty Aphrodite (1995)

796	 386	 859	 589	 665	 260	 740	 624
Jack (1996)	 Touch of Evil (1958)	 Richard III (1995)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Jack (1996)	 Priest (1994)	 Dances with Wolves (1990)	 Legends of the Fall (1994)
Heavy Metal (1981)	 Manchurian Candidate, The (1962)	 Everyone Says I Love You (1996)	 Die Hard (1988)	 Supercop (1992)	 Everyone Says I Love You (1996)	 Taxi Driver (1976)	 Brazil (1985)
Mighty Aphrodite (1995)	 Jack (1996)	 Supercop (1992)	 Wrong Trousers, The (1993)	 Legends of the Fall (1994)	 Mighty Aphrodite (1995)	 Brazil (1985)	 3 Ninjas: High Noon At Mega Mountain (1998)
Cinema Paradiso (1988)	 Trainspotting (1996)	 What's Eating Gilbert Grape (1993)	 Taxi Driver (1976)	 Shining, The (1980)	 Supercop (1992)	 In the Name of the Father (1993)	 Bringing Up Baby (1938)
Haunted World of Edward D. Wood Jr., The (1995)	 Cinema Paradiso (1988)	 Spawn (1997)	 Raiders of the Lost Ark (1981)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Twister (1996)	 Maltese Falcon, The (1941)
Maltese Falcon, The (1941)	 Heavy Metal (1981)	 It Happened One Night (1934)	 M*A*S*H (1970)	 Cinema Paradiso (1988)	 Spawn (1997)	 Ill Gotten Gains (1997)	 Harold and Maude (1971)
Stand by Me (1986)	 Stand by Me (1986)	 Heat (1995)	 Mighty Aphrodite (1995)	 Trainspotting (1996)	 Jack (1996)	 Contact (1997)	 Princess Bride, The (1987)
Trainspotting (1996)	 Rumble in the Bronx (1995)	 Snow White and the Seven Dwarfs (1937)	 Legends of the Fall (1994)	 Haunted World of Edward D. Wood Jr., The (1995)	 Cinema Paradiso (1988)	 Mighty, The (1998)	 Taxi Driver (1976)
Three Colors: White (1994)	 Cosi (1996)	 Jungle2Jungle (1997)	 Heat (1995)	 2001: A Space Odyssey (1968)	 Wrong Trousers, The (1993)	 Heavy Metal (1981)	 Gone with the Wind (1939)
It Happened One Night (1934)	 Haunted World of Edward D. Wood Jr., The (1995)	 Local Hero (1983)	 What's Eating Gilbert Grape (1993)	 Clockwork Orange, A (1971)	 English Patient, The (1996)	 In & Out (1997)	 Everyone Says I Love You (1996)

840	 181	 179	 93	 643	 616	 842	 811
So I Married an Axe Murderer (1993)	 Babe (1995)	 Brazil (1985)	 Priest (1994)	 Contact (1997)	 Supercop (1992)	 Everyone Says I Love You (1996)	 3 Ninjas: High Noon At Mega Mountain (1998)
Jack (1996)	 Romeo Is Bleeding (1993)	 Legends of the Fall (1994)	 Heavy Metal (1981)	 MatchMaker, The (1997)	 Maltese Falcon, The (1941)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Everyone Says I Love You (1996)
Cinema Paradiso (1988)	 So I Married an Axe Murderer (1993)	 Taxi Driver (1976)	 Snow White and the Seven Dwarfs (1937)	 Terminator 2: Judgment Day (1991)	 Clockwork Orange, A (1971)	 Taxi Driver (1976)	 Taxi Driver (1976)
Haunted World of Edward D. Wood Jr., The (1995)	 Trainspotting (1996)	 Princess Bride, The (1987)	 Supercop (1992)	 GoodFellas (1990)	 Nikita (La Femme Nikita) (1990)	 What's Eating Gilbert Grape (1993)	 Desperate Measures (1998)
Trainspotting (1996)	 Sneakers (1992)	 What's Eating Gilbert Grape (1993)	 Mighty Aphrodite (1995)	 Breakdown (1997)	 Wings of Desire (1987)	 Heat (1995)	 In the Name of the Father (1993)
Ulee's Gold (1997)	 Maltese Falcon, The (1941)	 GoodFellas (1990)	 Ridicule (1996)	 GoldenEye (1995)	 Legends of the Fall (1994)	 Snow White and the Seven Dwarfs (1937)	 Emma (1996)
Mighty Aphrodite (1995)	 Nikita (La Femme Nikita) (1990)	 3 Ninjas: High Noon At Mega Mountain (1998)	 So I Married an Axe Murderer (1993)	 Legends of the Fall (1994)	 What's Eating Gilbert Grape (1993)	 Brazil (1985)	 What's Eating Gilbert Grape (1993)
English Patient, The (1996)	 George of the Jungle (1997)	 Raiders of the Lost Ark (1981)	 Jack (1996)	 Addams Family Values (1993)	 Jack (1996)	 Spawn (1997)	 Four Weddings and a Funeral (1994)
Legends of the Fall (1994)	 Heavy Metal (1981)	 Kull the Conqueror (1997)	 Return of the Jedi (1983)	 3 Ninjas: High Noon At Mega Mountain (1998)	 It Happened One Night (1934)	 Raiders of the Lost Ark (1981)	 Legends of the Fall (1994)
Priest (1994)	 Godfather, The (1972)	 Everyone Says I Love You (1996)	 Haunted World of Edward D. Wood Jr., The (1995)	 M*A*S*H (1970)	 Shining, The (1980)	 Local Hero (1983)	 GoodFellas (1990)

808	 251	 561	 279	 294	 428	 918	 75
Legends of the Fall (1994)	 Three Colors: Blue (1993)	 Legends of the Fall (1994)	 Everyone Says I Love You (1996)	 Supercop (1992)	 Peacemaker, The (1997)	 Richard III (1995)	 3 Ninjas: High Noon At Mega Mountain (1998)
Everyone Says I Love You (1996)	 Nikita (La Femme Nikita) (1990)	 So I Married an Axe Murderer (1993)	 Local Hero (1983)	 Nikita (La Femme Nikita) (1990)	 Seven (Se7en) (1995)	 Priest (1994)	 Heat (1995)
What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)	 Supercop (1992)	 What's Eating Gilbert Grape (1993)	 2001: A Space Odyssey (1968)	 Apt Pupil (1998)	 Heat (1995)	 Everyone Says I Love You (1996)
GoodFellas (1990)	 Trainspotting (1996)	 Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)	 Washington Square (1997)	 First Wives Club, The (1996)	 What's Eating Gilbert Grape (1993)
Four Weddings and a Funeral (1994)	 Snow White and the Seven Dwarfs (1937)	 Jack (1996)	 It Happened One Night (1934)	 Legends of the Fall (1994)	 Pest, The (1997)	 Leaving Las Vegas (1995)	 Mighty Aphrodite (1995)
Princess Bride, The (1987)	 Pump Up the Volume (1990)	 Maltese Falcon, The (1941)	 Mighty Aphrodite (1995)	 Apartment, The (1960)	 I Know What You Did Last Summer (1997)	 Restoration (1995)	 Supercop (1992)
3 Ninjas: High Noon At Mega Mountain (1998)	 Local Hero (1983)	 2001: A Space Odyssey (1968)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Blues Brothers, The (1980)	 Big Lebowski, The (1998)	 Supercop (1992)	 Spawn (1997)
Bringing Up Baby (1938)	 Clockwork Orange, A (1971)	 Haunted World of Edward D. Wood Jr., The (1995)	 Clockwork Orange, A (1971)	 Shining, The (1980)	 Man Who Knew Too Little, The (1997)	 Mr. Holland's Opus (1995)	 It Happened One Night (1934)
Kull the Conqueror (1997)	 Annie Hall (1977)	 Wings of Desire (1987)	 Heat (1995)	 Clockwork Orange, A (1971)	 Lassie (1994)	 Jungle2Jungle (1997)	 As Good As It Gets (1997)
Taxi Driver (1976)	 Stand by Me (1986)	 What's Eating Gilbert Grape (1993)	 GoldenEye (1995)	 It Happened One Night (1934)	 Love Bug, The (1969)	 Pink Floyd - The Wall (1982)	 Taxi Driver (1976)

499	 783	 157	 237	 470	 365	 806	 45
Apocalypse Now (1979)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Supercop (1992)	 Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Home Alone (1990)	 Legends of the Fall (1994)
Aliens (1986)	 Heat (1995)	 2001: A Space Odyssey (1968)	 Nikita (La Femme Nikita) (1990)	 Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)	 English Patient, The (1996)	 Dead Poets Society (1989)
Return of the Jedi (1983)	 What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)	 Marvin's Room (1996)	 Jack (1996)	 Taxi Driver (1976)	 Sneakers (1992)	 Wrong Trousers, The (1993)
So I Married an Axe Murderer (1993)	 Everyone Says I Love You (1996)	 Full Metal Jacket (1987)	 Spawn (1997)	 It Happened One Night (1934)	 3 Ninjas: High Noon At Mega Mountain (1998)	 True Romance (1993)	 Raiders of the Lost Ark (1981)
Mr. Smith Goes to Washington (1939)	 Snow White and the Seven Dwarfs (1937)	 Nikita (La Femme Nikita) (1990)	 Four Weddings and a Funeral (1994)	 2001: A Space Odyssey (1968)	 Mighty Aphrodite (1995)	 Heavy Metal (1981)	 So I Married an Axe Murderer (1993)
Rumble in the Bronx (1995)	 Desperate Measures (1998)	 Apartment, The (1960)	 Tomorrow Never Dies (1997)	 Trainspotting (1996)	 Maltese Falcon, The (1941)	 Aliens (1986)	 What's Eating Gilbert Grape (1993)
Supercop (1992)	 In the Name of the Father (1993)	 It Happened One Night (1934)	 Harold and Maude (1971)	 Clockwork Orange, A (1971)	 Local Hero (1983)	 Trainspotting (1996)	 Shining, The (1980)
Mighty Aphrodite (1995)	 Silence of the Lambs, The (1991)	 English Patient, The (1996)	 Silence of the Lambs, The (1991)	 Harold and Maude (1971)	 Spawn (1997)	 Quiet Man, The (1952)	 Everyone Says I Love You (1996)
Trainspotting (1996)	 It Happened One Night (1934)	 North by Northwest (1959)	 What's Eating Gilbert Grape (1993)	 Local Hero (1983)	 Heat (1995)	 So I Married an Axe Murderer (1993)	 Mighty Aphrodite (1995)
Right Stuff, The (1983)	 Emma (1996)	 Trainspotting (1996)	 Maltese Falcon, The (1941)	 Cinema Paradiso (1988)	 In the Name of the Father (1993)	 Raise the Red Lantern (1991)	 Jack (1996)

633	 921	 99	 467	 130	 220	 76	 263
Legends of the Fall (1994)	 Priest (1994)	 Nikita (La Femme Nikita) (1990)	 As Good As It Gets (1997)	 Local Hero (1983)	 Apocalypse Now (1979)	 Legends of the Fall (1994)	 Snow White and the Seven Dwarfs (1937)
Everyone Says I Love You (1996)	 Supercop (1992)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 Haunted World of Edward D. Wood Jr., The (1995)	 Mighty Aphrodite (1995)	 Everyone Says I Love You (1996)
Brazil (1985)	 Brazil (1985)	 Spawn (1997)	 Brazil (1985)	 English Patient, The (1996)	 Gattaca (1997)	 Heavy Metal (1981)	 What's Eating Gilbert Grape (1993)
Princess Bride, The (1987)	 Legends of the Fall (1994)	 Harold and Maude (1971)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Marvin's Room (1996)	 Jack (1996)	 Priest (1994)	 Maltese Falcon, The (1941)
Raiders of the Lost Ark (1981)	 Snow White and the Seven Dwarfs (1937)	 Snow White and the Seven Dwarfs (1937)	 In the Name of the Father (1993)	 Harold and Maude (1971)	 First Wives Club, The (1996)	 Supercop (1992)	 Harold and Maude (1971)
What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)	 2001: A Space Odyssey (1968)	 Spawn (1997)	 Mr. Holland's Opus (1995)	 Priest (1994)	 Cinema Paradiso (1988)	 Amadeus (1984)
GoodFellas (1990)	 Spawn (1997)	 Maltese Falcon, The (1941)	 Dances with Wolves (1990)	 Delicatessen (1991)	 Amadeus (1984)	 English Patient, The (1996)	 Jack (1996)
Mighty Aphrodite (1995)	 Mighty Aphrodite (1995)	 Supercop (1992)	 Legends of the Fall (1994)	 Jack (1996)	 Wrong Trousers, The (1993)	 Princess Bride, The (1987)	 It Happened One Night (1934)
Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 English Patient, The (1996)	 Ulee's Gold (1997)	 Spawn (1997)	 Touch of Evil (1958)	 Platoon (1986)	 Local Hero (1983)
Raging Bull (1980)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Silence of the Lambs, The (1991)	 Devil's Advocate, The (1997)	 Everyone Says I Love You (1996)	 Trainspotting (1996)	 Sleeper (1973)	 George of the Jungle (1997)

834	 852	 286	 551	 131	 43	 703	 939
Supercop (1992)	 Legends of the Fall (1994)	 Legends of the Fall (1994)	 What's Eating Gilbert Grape (1993)	 GoldenEye (1995)	 Brazil (1985)	 Legends of the Fall (1994)	 Legends of the Fall (1994)
Apocalypse Now (1979)	 Priest (1994)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Legends of the Fall (1994)	 Usual Suspects, The (1995)	 Bringing Up Baby (1938)	 Brazil (1985)	 George of the Jungle (1997)
2001: A Space Odyssey (1968)	 Supercop (1992)	 Brazil (1985)	 Mighty Aphrodite (1995)	 What's Eating Gilbert Grape (1993)	 Legends of the Fall (1994)	 Princess Bride, The (1987)	 Snow White and the Seven Dwarfs (1937)
Notorious (1946)	 Princess Bride, The (1987)	 Mighty Aphrodite (1995)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Brazil (1985)	 Everyone Says I Love You (1996)	 Jack (1996)	 3 Ninjas: High Noon At Mega Mountain (1998)
Full Metal Jacket (1987)	 Brazil (1985)	 Ulee's Gold (1997)	 Everyone Says I Love You (1996)	 Raging Bull (1980)	 GoldenEye (1995)	 Cinema Paradiso (1988)	 GoodFellas (1990)
Return of the Jedi (1983)	 Return of the Jedi (1983)	 Princess Bride, The (1987)	 Brazil (1985)	 Patton (1970)	 Taxi Driver (1976)	 English Patient, The (1996)	 Brazil (1985)
Wag the Dog (1997)	 Dances with Wolves (1990)	 Priest (1994)	 Ulee's Gold (1997)	 M*A*S*H (1970)	 Die Hard (1988)	 Vertigo (1958)	 Cable Guy, The (1996)
Heavy Metal (1981)	 Four Weddings and a Funeral (1994)	 What's Eating Gilbert Grape (1993)	 Heat (1995)	 Mars Attacks! (1996)	 Princess Bride, The (1987)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Evil Dead II (1987)
Mother (1996)	 Ulee's Gold (1997)	 Evita (1996)	 Taxi Driver (1976)	 Heat (1995)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Harold and Maude (1971)	 Starship Troopers (1997)
Blues Brothers, The (1980)	 Lawnmower Man, The (1992)	 Apartment, The (1960)	 Dances with Wolves (1990)	 Evita (1996)	 Dances with Wolves (1990)	 Wings of Desire (1987)	 Princess Bride, The (1987)

698	 520	 938	 465	 907	 301	 186	 26
Legends of the Fall (1994)	 Searching for Bobby Fischer (1993)	 Legends of the Fall (1994)	 Heat (1995)	 Maltese Falcon, The (1941)	 Searching for Bobby Fischer (1993)	 Maltese Falcon, The (1941)	 Cinema Paradiso (1988)
What's Eating Gilbert Grape (1993)	 Nikita (La Femme Nikita) (1990)	 What's Eating Gilbert Grape (1993)	 Mighty Aphrodite (1995)	 Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 George of the Jungle (1997)
Haunted World of Edward D. Wood Jr., The (1995)	 Jungle2Jungle (1997)	 Bringing Up Baby (1938)	 Priest (1994)	 English Patient, The (1996)	 It Happened One Night (1934)	 Nikita (La Femme Nikita) (1990)	 Legends of the Fall (1994)
Everyone Says I Love You (1996)	 Trainspotting (1996)	 Supercop (1992)	 Cinema Paradiso (1988)	 What's Eating Gilbert Grape (1993)	 Leaving Las Vegas (1995)	 It Happened One Night (1934)	 Heat (1995)
Raiders of the Lost Ark (1981)	 Phenomenon (1996)	 Everyone Says I Love You (1996)	 It Happened One Night (1934)	 Marvin's Room (1996)	 Jungle2Jungle (1997)	 Supercop (1992)	 Jack (1996)
Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 Jack (1996)	 Pump Up the Volume (1990)	 Nikita (La Femme Nikita) (1990)	 Washington Square (1997)	 North by Northwest (1959)	 Mighty Aphrodite (1995)
English Patient, The (1996)	 Picture Perfect (1997)	 Brazil (1985)	 Maltese Falcon, The (1941)	 Legends of the Fall (1994)	 Priest (1994)	 Spawn (1997)	 What's Eating Gilbert Grape (1993)
Princess Bride, The (1987)	 Raging Bull (1980)	 Mighty Aphrodite (1995)	 Everyone Says I Love You (1996)	 Jack (1996)	 Pink Floyd - The Wall (1982)	 What's Eating Gilbert Grape (1993)	 Haunted World of Edward D. Wood Jr., The (1995)
Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 Jack (1996)	 Local Hero (1983)	 Seven (Se7en) (1995)	 2001: A Space Odyssey (1968)	 Brazil (1985)
Heavy Metal (1981)	 Angels and Insects (1995)	 Spawn (1997)	 Ulee's Gold (1997)	 Heat (1995)	 Everyone Says I Love You (1996)	 Local Hero (1983)	 GoodFellas (1990)

18	 220	 829	 76	 894	 113	 152	 627
Legends of the Fall (1994)	 Apocalypse Now (1979)	 Spawn (1997)	 Legends of the Fall (1994)	 Legends of the Fall (1994)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Jack (1996)	 Heat (1995)
Maltese Falcon, The (1941)	 Haunted World of Edward D. Wood Jr., The (1995)	 Local Hero (1983)	 Mighty Aphrodite (1995)	 What's Eating Gilbert Grape (1993)	 Snow White and the Seven Dwarfs (1937)	 Maltese Falcon, The (1941)	 Haunted World of Edward D. Wood Jr., The (1995)
Princess Bride, The (1987)	 Gattaca (1997)	 Priest (1994)	 Heavy Metal (1981)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Legends of the Fall (1994)	 Maltese Falcon, The (1941)
Cinema Paradiso (1988)	 Jack (1996)	 Three Colors: Blue (1993)	 Priest (1994)	 Brazil (1985)	 In the Name of the Father (1993)	 Delicatessen (1991)	 Supercop (1992)
Clockwork Orange, A (1971)	 First Wives Club, The (1996)	 Third Man, The (1949)	 Supercop (1992)	 3 Ninjas: High Noon At Mega Mountain (1998)	 As Good As It Gets (1997)	 Mighty Aphrodite (1995)	 Spawn (1997)
Local Hero (1983)	 Priest (1994)	 Ulee's Gold (1997)	 Cinema Paradiso (1988)	 Spawn (1997)	 Local Hero (1983)	 Leaving Las Vegas (1995)	 Local Hero (1983)
Trainspotting (1996)	 Amadeus (1984)	 What's Eating Gilbert Grape (1993)	 English Patient, The (1996)	 Princess Bride, The (1987)	 Heat (1995)	 English Patient, The (1996)	 Wrong Trousers, The (1993)
Jack (1996)	 Wrong Trousers, The (1993)	 Apocalypse Now (1979)	 Princess Bride, The (1987)	 Four Weddings and a Funeral (1994)	 It Happened One Night (1934)	 Harold and Maude (1971)	 Cinema Paradiso (1988)
2001: A Space Odyssey (1968)	 Touch of Evil (1958)	 Full Metal Jacket (1987)	 Platoon (1986)	 Bringing Up Baby (1938)	 What's Eating Gilbert Grape (1993)	 Pump Up the Volume (1990)	 Heavy Metal (1981)
Good, The Bad and The Ugly, The (1966)	 Trainspotting (1996)	 Nikita (La Femme Nikita) (1990)	 Sleeper (1973)	 Supercop (1992)	 Akira (1988)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)

660	 215	 33	 510	 821	 782	 108	 798
Nikita (La Femme Nikita) (1990)	 English Patient, The (1996)	 Supercop (1992)	 Legends of the Fall (1994)	 Spawn (1997)	 Legends of the Fall (1994)	 Gattaca (1997)	 Legends of the Fall (1994)
It Happened One Night (1934)	 Priest (1994)	 Priest (1994)	 Mighty Aphrodite (1995)	 Snow White and the Seven Dwarfs (1937)	 Supercop (1992)	 Spawn (1997)	 Brazil (1985)
Apartment, The (1960)	 Mighty Aphrodite (1995)	 Everyone Says I Love You (1996)	 Snow White and the Seven Dwarfs (1937)	 Everyone Says I Love You (1996)	 Princess Bride, The (1987)	 Trainspotting (1996)	 Princess Bride, The (1987)
Supercop (1992)	 Pump Up the Volume (1990)	 What's Eating Gilbert Grape (1993)	 Brazil (1985)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Mr. Smith Goes to Washington (1939)	 Priest (1994)	 GoodFellas (1990)
Harold and Maude (1971)	 Local Hero (1983)	 Snow White and the Seven Dwarfs (1937)	 Princess Bride, The (1987)	 What's Eating Gilbert Grape (1993)	 Cinema Paradiso (1988)	 First Wives Club, The (1996)	 Snow White and the Seven Dwarfs (1937)
Snow White and the Seven Dwarfs (1937)	 It Happened One Night (1934)	 Spawn (1997)	 Spawn (1997)	 Local Hero (1983)	 Brazil (1985)	 Snow White and the Seven Dwarfs (1937)	 Maltese Falcon, The (1941)
Full Metal Jacket (1987)	 Everyone Says I Love You (1996)	 Mighty Aphrodite (1995)	 What's Eating Gilbert Grape (1993)	 Ulee's Gold (1997)	 Jack (1996)	 Harold and Maude (1971)	 Mighty Aphrodite (1995)
2001: A Space Odyssey (1968)	 Platoon (1986)	 Maltese Falcon, The (1941)	 Priest (1994)	 Maltese Falcon, The (1941)	 Heavy Metal (1981)	 It Happened One Night (1934)	 Cinema Paradiso (1988)
What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)	 Legends of the Fall (1994)	 Ulee's Gold (1997)	 Nikita (La Femme Nikita) (1990)	 Maltese Falcon, The (1941)	 Wings of Desire (1987)	 Wings of Desire (1987)
