455	 402	 922	 234	 724	 425	 788
Heat (1995)	 Everyone Says I Love You (1996)	 Taxi Driver (1976)	 Jude (1996)	 Everyone Says I Love You (1996)	 Jack (1996)	 What's Eating Gilbert Grape (1993)
Maltese Falcon, The (1941)	 Emma (1996)	 Brazil (1985)	 Rainmaker, The (1997)	 Harold and Maude (1971)	 Legends of the Fall (1994)	 Bringing Up Baby (1938)
Hoodlum (1997)	 Mary Reilly (1996)	 What's Eating Gilbert Grape (1993)	 Breakdown (1997)	 It Happened One Night (1934)	 2001: A Space Odyssey (1968)	 Taxi Driver (1976)
Cinema Paradiso (1988)	 Seven (Se7en) (1995)	 Hot Shots! Part Deux (1993)	 Emma (1996)	 Spawn (1997)	 Trainspotting (1996)	 Mask, The (1994)
Everyone Says I Love You (1996)	 Sgt. Bilko (1996)	 Everyone Says I Love You (1996)	 Game, The (1997)	 Maltese Falcon, The (1941)	 Full Monty, The (1997)	 Batman Forever (1995)
Henry V (1989)	 In the Name of the Father (1993)	 Bringing Up Baby (1938)	 Mrs. Doubtfire (1993)	 Supercop (1992)	 Cinema Paradiso (1988)	 Batman (1989)
Haunted World of Edward D. Wood Jr., The (1995)	 It Happened One Night (1934)	 Blade Runner (1982)	 What's Eating Gilbert Grape (1993)	 Apartment, The (1960)	 It Happened One Night (1934)	 Shadowlands (1993)
English Patient, The (1996)	 Twister (1996)	 Kull the Conqueror (1997)	 Rocket Man (1997)	 Legends of the Fall (1994)	 Haunted World of Edward D. Wood Jr., The (1995)	 GoldenEye (1995)
Clockwork Orange, A (1971)	 Heat (1995)	 Snow White and the Seven Dwarfs (1937)	 Apt Pupil (1998)	 Snow White and the Seven Dwarfs (1937)	 Everyone Says I Love You (1996)	 3 Ninjas: High Noon At Mega Mountain (1998)

398	 368	 761	 530	 813	 364	 713
Supercop (1992)	 Legends of the Fall (1994)	 As Good As It Gets (1997)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Taxi Driver (1976)	 Ulee's Gold (1997)	 3 Ninjas: High Noon At Mega Mountain (1998)
Legends of the Fall (1994)	 Mighty Aphrodite (1995)	 Rock, The (1996)	 Brazil (1985)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Raiders of the Lost Ark (1981)	 Die Hard (1988)
Maltese Falcon, The (1941)	 Priest (1994)	 Wrong Trousers, The (1993)	 Dances with Wolves (1990)	 Twister (1996)	 Haunted World of Edward D. Wood Jr., The (1995)	 Dances with Wolves (1990)
Brazil (1985)	 Cinema Paradiso (1988)	 Mighty Aphrodite (1995)	 Legends of the Fall (1994)	 What's Eating Gilbert Grape (1993)	 Jack (1996)	 French Twist (Gazon maudit) (1995)
Clockwork Orange, A (1971)	 Brazil (1985)	 Better Off Dead... (1985)	 Cinema Paradiso (1988)	 Mighty Aphrodite (1995)	 Ridicule (1996)	 Taxi Driver (1976)
Snow White and the Seven Dwarfs (1937)	 Local Hero (1983)	 Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 Dances with Wolves (1990)	 Cinema Paradiso (1988)	 Brazil (1985)
Full Metal Jacket (1987)	 Princess Bride, The (1987)	 George of the Jungle (1997)	 What's Eating Gilbert Grape (1993)	 Cable Guy, The (1996)	 Legends of the Fall (1994)	 Addams Family Values (1993)
Princess Bride, The (1987)	 Snow White and the Seven Dwarfs (1937)	 Doom Generation, The (1995)	 Raiders of the Lost Ark (1981)	 M*A*S*H (1970)	 Mighty Aphrodite (1995)	 Ace Ventura: Pet Detective (1994)
Mr. Smith Goes to Washington (1939)	 First Wives Club, The (1996)	 In the Name of the Father (1993)	 Princess Bride, The (1987)	 Brazil (1985)	 Willy Wonka and the Chocolate Factory (1971)	 Casino (1995)
What's Eating Gilbert Grape (1993)	 Supercop (1992)	 Terminator 2: Judgment Day (1991)	 Full Monty, The (1997)	 Breakdown (1997)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Mallrats (1995)

160	 696	 317	 106	 302	 586	 97
3 Ninjas: High Noon At Mega Mountain (1998)	 2001: A Space Odyssey (1968)	 Pink Floyd - The Wall (1982)	 Everyone Says I Love You (1996)	 Brazil (1985)	 Maltese Falcon, The (1941)	 Supercop (1992)
Taxi Driver (1976)	 Trainspotting (1996)	 Richard III (1995)	 Maltese Falcon, The (1941)	 Legends of the Fall (1994)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)
Heat (1995)	 Afterglow (1997)	 Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)	 GoodFellas (1990)	 2001: A Space Odyssey (1968)	 Spawn (1997)
Twister (1996)	 Gattaca (1997)	 Searching for Bobby Fischer (1993)	 Legends of the Fall (1994)	 Princess Bride, The (1987)	 GoldenEye (1995)	 Ulee's Gold (1997)
Brazil (1985)	 Maltese Falcon, The (1941)	 Jungle2Jungle (1997)	 Local Hero (1983)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Snow White and the Seven Dwarfs (1937)	 Legends of the Fall (1994)
Snow White and the Seven Dwarfs (1937)	 Aliens (1986)	 Angels and Insects (1995)	 Ulee's Gold (1997)	 Everyone Says I Love You (1996)	 Spawn (1997)	 Priest (1994)
Spawn (1997)	 Cinema Paradiso (1988)	 Gattaca (1997)	 Spawn (1997)	 Contact (1997)	 Boot, Das (1981)	 Apartment, The (1960)
What's Eating Gilbert Grape (1993)	 First Wives Club, The (1996)	 White Squall (1996)	 George of the Jungle (1997)	 Dances with Wolves (1990)	 Harold and Maude (1971)	 Brazil (1985)
Princess Bride, The (1987)	 Jack (1996)	 Marvin's Room (1996)	 Harold and Maude (1971)	 Spawn (1997)	 Raging Bull (1980)	 Maltese Falcon, The (1941)
Duck Soup (1933)	 Better Off Dead... (1985)	 Harold and Maude (1971)	 3 Ninjas: High Noon At Mega Mountain (1998)	 What's Eating Gilbert Grape (1993)	 Supercop (1992)	 Full Metal Jacket (1987)

223	 249	 537	 594	 228	 748	 527
What's Eating Gilbert Grape (1993)	 Platoon (1986)	 Legends of the Fall (1994)	 Four Weddings and a Funeral (1994)	 Maltese Falcon, The (1941)	 Rumble in the Bronx (1995)	 Maltese Falcon, The (1941)
Taxi Driver (1976)	 First Wives Club, The (1996)	 Princess Bride, The (1987)	 Marvin's Room (1996)	 Heavy Metal (1981)	 Priest (1994)	 Everyone Says I Love You (1996)
Brazil (1985)	 Mighty Aphrodite (1995)	 GoodFellas (1990)	 Everyone Says I Love You (1996)	 Trainspotting (1996)	 Supercop (1992)	 Local Hero (1983)
Heat (1995)	 Local Hero (1983)	 Brazil (1985)	 What's Eating Gilbert Grape (1993)	 North by Northwest (1959)	 2001: A Space Odyssey (1968)	 Trainspotting (1996)
Dances with Wolves (1990)	 Snow White and the Seven Dwarfs (1937)	 What's Eating Gilbert Grape (1993)	 Graduate, The (1967)	 Snow White and the Seven Dwarfs (1937)	 Clockwork Orange, A (1971)	 English Patient, The (1996)
Priest (1994)	 Good, The Bad and The Ugly, The (1966)	 Mighty Aphrodite (1995)	 Heat (1995)	 Local Hero (1983)	 Return of the Jedi (1983)	 Clockwork Orange, A (1971)
George of the Jungle (1997)	 Heat (1995)	 Bringing Up Baby (1938)	 Taxi Driver (1976)	 Pump Up the Volume (1990)	 Blues Brothers, The (1980)	 Spawn (1997)
Raiders of the Lost Ark (1981)	 Legends of the Fall (1994)	 Jack (1996)	 Snow White and the Seven Dwarfs (1937)	 Cinema Paradiso (1988)	 Raging Bull (1980)	 Delicatessen (1991)
U Turn (1997)	 Priest (1994)	 Cinema Paradiso (1988)	 Raiders of the Lost Ark (1981)	 Jack (1996)	 Ulee's Gold (1997)	 Pump Up the Volume (1990)
Everyone Says I Love You (1996)	 Willy Wonka and the Chocolate Factory (1971)	 Haunted World of Edward D. Wood Jr., The (1995)	 Local Hero (1983)	 My Fair Lady (1964)	 Everyone Says I Love You (1996)	 Gone with the Wind (1939)

72	 164	 615	 291	 345	 919	 132
Richard III (1995)	 Legends of the Fall (1994)	 Cinema Paradiso (1988)	 Brazil (1985)	 Mighty Aphrodite (1995)	 Amadeus (1984)	 Everyone Says I Love You (1996)
Mr. Holland's Opus (1995)	 Everyone Says I Love You (1996)	 Mighty Aphrodite (1995)	 Legends of the Fall (1994)	 Supercop (1992)	 Heavy Metal (1981)	 Marvin's Room (1996)
Priest (1994)	 In the Name of the Father (1993)	 Maltese Falcon, The (1941)	 Taxi Driver (1976)	 Jack (1996)	 Rock, The (1996)	 What's Eating Gilbert Grape (1993)
As Good As It Gets (1997)	 Cinema Paradiso (1988)	 Jack (1996)	 GoodFellas (1990)	 Heavy Metal (1981)	 Better Off Dead... (1985)	 Heavy Metal (1981)
First Wives Club, The (1996)	 What's Eating Gilbert Grape (1993)	 Heavy Metal (1981)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Wrong Trousers, The (1993)	 English Patient, The (1996)	 As Good As It Gets (1997)
Seven (Se7en) (1995)	 Supercop (1992)	 GoldenEye (1995)	 Princess Bride, The (1987)	 Trainspotting (1996)	 Leaving Las Vegas (1995)	 3 Ninjas: High Noon At Mega Mountain (1998)
Spawn (1997)	 Bringing Up Baby (1938)	 Amadeus (1984)	 What's Eating Gilbert Grape (1993)	 2001: A Space Odyssey (1968)	 Jungle2Jungle (1997)	 Spawn (1997)
Everyone Says I Love You (1996)	 Spawn (1997)	 Apartment, The (1960)	 Everyone Says I Love You (1996)	 It Happened One Night (1934)	 Everyone Says I Love You (1996)	 Heat (1995)
Trainspotting (1996)	 Maltese Falcon, The (1941)	 Pump Up the Volume (1990)	 GoldenEye (1995)	 Aliens (1986)	 Seven (Se7en) (1995)	 Maltese Falcon, The (1941)
Local Hero (1983)	 Brazil (1985)	 It Happened One Night (1934)	 Mask, The (1994)	 Legends of the Fall (1994)	 Pink Floyd - The Wall (1982)	 Ulee's Gold (1997)

295	 627	 837	 146	 583	 878	 337
Legends of the Fall (1994)	 Heat (1995)	 Heavy Metal (1981)	 Mighty Aphrodite (1995)	 Jack (1996)	 Cinema Paradiso (1988)	 3 Ninjas: High Noon At Mega Mountain (1998)
Princess Bride, The (1987)	 Haunted World of Edward D. Wood Jr., The (1995)	 Mighty Aphrodite (1995)	 Taxi Driver (1976)	 Supercop (1992)	 Supercop (1992)	 Supercop (1992)
What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)	 Cinema Paradiso (1988)	 Dances with Wolves (1990)	 Trainspotting (1996)	 Full Metal Jacket (1987)	 Mighty Aphrodite (1995)
Everyone Says I Love You (1996)	 Supercop (1992)	 Spawn (1997)	 Brazil (1985)	 Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)	 Brazil (1985)
Brazil (1985)	 Spawn (1997)	 Wings of Desire (1987)	 Cinema Paradiso (1988)	 Snow White and the Seven Dwarfs (1937)	 Priest (1994)	 Legends of the Fall (1994)
Mighty Aphrodite (1995)	 Local Hero (1983)	 Supercop (1992)	 Supercop (1992)	 Army of Darkness (1993)	 Wings of Desire (1987)	 Taxi Driver (1976)
Evita (1996)	 Wrong Trousers, The (1993)	 Ulee's Gold (1997)	 Princess Bride, The (1987)	 Mighty Aphrodite (1995)	 Mighty Aphrodite (1995)	 Full Metal Jacket (1987)
GoodFellas (1990)	 Cinema Paradiso (1988)	 Apartment, The (1960)	 Lawnmower Man, The (1992)	 Pump Up the Volume (1990)	 Snow White and the Seven Dwarfs (1937)	 Raiders of the Lost Ark (1981)
Spawn (1997)	 Heavy Metal (1981)	 Harold and Maude (1971)	 Legends of the Fall (1994)	 Wings of Desire (1987)	 What's Eating Gilbert Grape (1993)	 Princess Bride, The (1987)
Local Hero (1983)	 Everyone Says I Love You (1996)	 It Happened One Night (1934)	 Snow White and the Seven Dwarfs (1937)	 Haunted World of Edward D. Wood Jr., The (1995)	 Delicatessen (1991)	 What's Eating Gilbert Grape (1993)

435	 702	 211	 122	 478	 711	 802
Evita (1996)	 Maltese Falcon, The (1941)	 Legends of the Fall (1994)	 Wings of Desire (1987)	 Die Hard (1988)	 Supercop (1992)	 Heat (1995)
3 Ninjas: High Noon At Mega Mountain (1998)	 Jack (1996)	 Supercop (1992)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 3 Ninjas: High Noon At Mega Mountain (1998)
Alien (1979)	 Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 Legends of the Fall (1994)	 What's Eating Gilbert Grape (1993)	 2001: A Space Odyssey (1968)	 What's Eating Gilbert Grape (1993)
On Golden Pond (1981)	 Heavy Metal (1981)	 Cinema Paradiso (1988)	 North by Northwest (1959)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Full Metal Jacket (1987)	 Evita (1996)
Spitfire Grill, The (1996)	 Mighty Aphrodite (1995)	 Brazil (1985)	 Everyone Says I Love You (1996)	 Graduate, The (1967)	 Apartment, The (1960)	 Dances with Wolves (1990)
Casino (1995)	 Cinema Paradiso (1988)	 2001: A Space Odyssey (1968)	 Mr. Holland's Opus (1995)	 In the Name of the Father (1993)	 Trainspotting (1996)	 Taxi Driver (1976)
Raising Arizona (1987)	 Legends of the Fall (1994)	 Princess Bride, The (1987)	 Jack (1996)	 Mighty Aphrodite (1995)	 It Happened One Night (1934)	 Everyone Says I Love You (1996)
Evil Dead II (1987)	 Haunted World of Edward D. Wood Jr., The (1995)	 Everyone Says I Love You (1996)	 Local Hero (1983)	 Legends of the Fall (1994)	 North by Northwest (1959)	 U Turn (1997)
Good, The Bad and The Ugly, The (1966)	 Harold and Maude (1971)	 Clockwork Orange, A (1971)	 2001: A Space Odyssey (1968)	 Jaws 2 (1978)	 Priest (1994)	 Usual Suspects, The (1995)
Jane Eyre (1996)	 Wings of Desire (1987)	 Children of the Corn: The Gathering (1996)	 Princess Bride, The (1987)	 Maltese Falcon, The (1941)	 Clockwork Orange, A (1971)	 Brazil (1985)

50	 658	 694	 41	 112	 466	 899
Trainspotting (1996)	 Local Hero (1983)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Full Metal Jacket (1987)	 Legends of the Fall (1994)	 Jack (1996)	 Full Metal Jacket (1987)
Apocalypse Now (1979)	 Maltese Falcon, The (1941)	 Priest (1994)	 3 Ninjas: High Noon At Mega Mountain (1998)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 Priest (1994)
Blues Brothers, The (1980)	 Snow White and the Seven Dwarfs (1937)	 Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 Brazil (1985)	 George of the Jungle (1997)	 As Good As It Gets (1997)
Aliens (1986)	 Searching for Bobby Fischer (1993)	 Heat (1995)	 North by Northwest (1959)	 Everyone Says I Love You (1996)	 Babe (1995)	 Mighty Aphrodite (1995)
D3: The Mighty Ducks (1996)	 It Happened One Night (1934)	 Everyone Says I Love You (1996)	 It Happened One Night (1934)	 Mighty Aphrodite (1995)	 Cinema Paradiso (1988)	 Cinema Paradiso (1988)
Jack (1996)	 As Good As It Gets (1997)	 Spawn (1997)	 Supercop (1992)	 Princess Bride, The (1987)	 So I Married an Axe Murderer (1993)	 Supercop (1992)
Third Man, The (1949)	 Gattaca (1997)	 Harold and Maude (1971)	 What's Eating Gilbert Grape (1993)	 GoodFellas (1990)	 Maltese Falcon, The (1941)	 First Wives Club, The (1996)
Mother (1996)	 Man Who Would Be King, The (1975)	 It Happened One Night (1934)	 2001: A Space Odyssey (1968)	 Ulee's Gold (1997)	 Mighty Aphrodite (1995)	 Rumble in the Bronx (1995)
Stand by Me (1986)	 Diva (1981)	 Heavy Metal (1981)	 English Patient, The (1996)	 Bringing Up Baby (1938)	 Haunted World of Edward D. Wood Jr., The (1995)	 It Happened One Night (1934)
Three Colors: White (1994)	 North by Northwest (1959)	 Snow White and the Seven Dwarfs (1937)	 Rumble in the Bronx (1995)	 Gattaca (1997)	 Priest (1994)	 In the Name of the Father (1993)

931	 758	 651	 657	 580	 299	 219
Harold and Maude (1971)	 What's Eating Gilbert Grape (1993)	 Legends of the Fall (1994)	 Legends of the Fall (1994)	 Raiders of the Lost Ark (1981)	 Everyone Says I Love You (1996)	 Snow White and the Seven Dwarfs (1937)
Everyone Says I Love You (1996)	 Legends of the Fall (1994)	 Maltese Falcon, The (1941)	 Cinema Paradiso (1988)	 Legends of the Fall (1994)	 What's Eating Gilbert Grape (1993)	 Jack (1996)
In the Name of the Father (1993)	 Snow White and the Seven Dwarfs (1937)	 Cinema Paradiso (1988)	 English Patient, The (1996)	 Everyone Says I Love You (1996)	 Legends of the Fall (1994)	 Maltese Falcon, The (1941)
Maltese Falcon, The (1941)	 Mighty Aphrodite (1995)	 Brazil (1985)	 2001: A Space Odyssey (1968)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Brazil (1985)	 So I Married an Axe Murderer (1993)
Snow White and the Seven Dwarfs (1937)	 Everyone Says I Love You (1996)	 Raiders of the Lost Ark (1981)	 Maltese Falcon, The (1941)	 Heat (1995)	 Maltese Falcon, The (1941)	 It Happened One Night (1934)
Godfather, The (1972)	 Heat (1995)	 Everyone Says I Love You (1996)	 Mighty Aphrodite (1995)	 Brazil (1985)	 Supercop (1992)	 Army of Darkness (1993)
Rock, The (1996)	 Jack (1996)	 Apartment, The (1960)	 Gone with the Wind (1939)	 Mighty Aphrodite (1995)	 Harold and Maude (1971)	 Pump Up the Volume (1990)
As Good As It Gets (1997)	 Maltese Falcon, The (1941)	 Jack (1996)	 North by Northwest (1959)	 Maltese Falcon, The (1941)	 It Happened One Night (1934)	 Everyone Says I Love You (1996)
Kicking and Screaming (1995)	 Cinema Paradiso (1988)	 It Happened One Night (1934)	 Leaving Las Vegas (1995)	 Local Hero (1983)	 Spawn (1997)	 Trainspotting (1996)
What's Eating Gilbert Grape (1993)	 Princess Bride, The (1987)	 Princess Bride, The (1987)	 Grifters, The (1990)	 Terminator, The (1984)	 GoldenEye (1995)	 Local Hero (1983)

862	 558	 525	 523	 150	 707	 619
Everyone Says I Love You (1996)	 Mighty Aphrodite (1995)	 Supercop (1992)	 Heavy Metal (1981)	 Maltese Falcon, The (1941)	 Legends of the Fall (1994)	 Supercop (1992)
Leaving Las Vegas (1995)	 Jack (1996)	 Heavy Metal (1981)	 Mighty Aphrodite (1995)	 Everyone Says I Love You (1996)	 Raiders of the Lost Ark (1981)	 Legends of the Fall (1994)
Maltese Falcon, The (1941)	 Cinema Paradiso (1988)	 Room with a View, A (1986)	 Supercop (1992)	 English Patient, The (1996)	 Princess Bride, The (1987)	 Brazil (1985)
Bringing Up Baby (1938)	 It Happened One Night (1934)	 Wings of Desire (1987)	 Legends of the Fall (1994)	 Local Hero (1983)	 GoodFellas (1990)	 Everyone Says I Love You (1996)
Delicatessen (1991)	 2001: A Space Odyssey (1968)	 Full Metal Jacket (1987)	 Jack (1996)	 Legends of the Fall (1994)	 Everyone Says I Love You (1996)	 3 Ninjas: High Noon At Mega Mountain (1998)
What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Trainspotting (1996)	 Spawn (1997)	 Brazil (1985)	 What's Eating Gilbert Grape (1993)
Snow White and the Seven Dwarfs (1937)	 What's Eating Gilbert Grape (1993)	 Priest (1994)	 Cinema Paradiso (1988)	 Searching for Bobby Fischer (1993)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Taxi Driver (1976)
It Happened One Night (1934)	 Apartment, The (1960)	 Marvin's Room (1996)	 Maltese Falcon, The (1941)	 Delicatessen (1991)	 Maltese Falcon, The (1941)	 Bringing Up Baby (1938)
Pink Floyd - The Wall (1982)	 Full Monty, The (1997)	 I.Q. (1994)	 Apocalypse Now (1979)	 3 Ninjas: High Noon At Mega Mountain (1998)	 What's Eating Gilbert Grape (1993)	 Snow White and the Seven Dwarfs (1937)
North by Northwest (1959)	 Dead Man Walking (1995)	 Boot, Das (1981)	 It Happened One Night (1934)	 Cinema Paradiso (1988)	 Taxi Driver (1976)	 Apartment, The (1960)

741	 654	 51	 427	 243	 703	 188
Everyone Says I Love You (1996)	 Dead Poets Society (1989)	 First Wives Club, The (1996)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Legends of the Fall (1994)	 Raiders of the Lost Ark (1981)
Marvin's Room (1996)	 Brazil (1985)	 Legends of the Fall (1994)	 It Happened One Night (1934)	 Maltese Falcon, The (1941)	 Brazil (1985)	 Maltese Falcon, The (1941)
Local Hero (1983)	 So I Married an Axe Murderer (1993)	 Seven (Se7en) (1995)	 Ulee's Gold (1997)	 What's Eating Gilbert Grape (1993)	 Princess Bride, The (1987)	 Everyone Says I Love You (1996)
Maltese Falcon, The (1941)	 Supercop (1992)	 Gattaca (1997)	 Harold and Maude (1971)	 It Happened One Night (1934)	 Jack (1996)	 Mighty Aphrodite (1995)
Ulee's Gold (1997)	 Legends of the Fall (1994)	 Mighty Aphrodite (1995)	 North by Northwest (1959)	 Snow White and the Seven Dwarfs (1937)	 Cinema Paradiso (1988)	 Robert A. Heinlein's The Puppet Masters (1994)
What's Eating Gilbert Grape (1993)	 Dances with Wolves (1990)	 Priest (1994)	 Apartment, The (1960)	 3 Ninjas: High Noon At Mega Mountain (1998)	 English Patient, The (1996)	 Local Hero (1983)
Heat (1995)	 Taxi Driver (1976)	 Snow White and the Seven Dwarfs (1937)	 Everyone Says I Love You (1996)	 Nikita (La Femme Nikita) (1990)	 Vertigo (1958)	 Jack (1996)
3 Ninjas: High Noon At Mega Mountain (1998)	 Four Weddings and a Funeral (1994)	 NeverEnding Story III, The (1994)	 Heat (1995)	 Leaving Las Vegas (1995)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Amadeus (1984)
Spawn (1997)	 Full Metal Jacket (1987)	 Local Hero (1983)	 Clockwork Orange, A (1971)	 Full Monty, The (1997)	 Harold and Maude (1971)	 Leaving Las Vegas (1995)
Legends of the Fall (1994)	 Cinema Paradiso (1988)	 Princess Bride, The (1987)	 Jack (1996)	 Local Hero (1983)	 Wings of Desire (1987)	 Snow White and the Seven Dwarfs (1937)

318	 22	 53	 488	 553	 535	 95
What's Eating Gilbert Grape (1993)	 Priest (1994)	 Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Heavy Metal (1981)
Everyone Says I Love You (1996)	 Supercop (1992)	 Maltese Falcon, The (1941)	 Snow White and the Seven Dwarfs (1937)	 What's Eating Gilbert Grape (1993)	 M*A*S*H (1970)	 Supercop (1992)
In the Name of the Father (1993)	 Snow White and the Seven Dwarfs (1937)	 What's Eating Gilbert Grape (1993)	 Cinema Paradiso (1988)	 Maltese Falcon, The (1941)	 Dances with Wolves (1990)	 Trainspotting (1996)
As Good As It Gets (1997)	 Rumble in the Bronx (1995)	 Local Hero (1983)	 Haunted World of Edward D. Wood Jr., The (1995)	 Mighty Aphrodite (1995)	 Breakdown (1997)	 Maltese Falcon, The (1941)
Heat (1995)	 Maltese Falcon, The (1941)	 Spawn (1997)	 Good, The Bad and The Ugly, The (1966)	 It Happened One Night (1934)	 Emma (1996)	 2001: A Space Odyssey (1968)
Supercop (1992)	 Sneakers (1992)	 Raging Bull (1980)	 Heat (1995)	 Cinema Paradiso (1988)	 In the Name of the Father (1993)	 Priest (1994)
Legends of the Fall (1994)	 Heat (1995)	 Harold and Maude (1971)	 Sleepless in Seattle (1993)	 Jack (1996)	 What's Eating Gilbert Grape (1993)	 Wings of Desire (1987)
Mighty Aphrodite (1995)	 2001: A Space Odyssey (1968)	 Jack (1996)	 Star Trek III: The Search for Spock (1984)	 In the Name of the Father (1993)	 Heat (1995)	 Apocalypse Now (1979)
It Happened One Night (1934)	 Usual Suspects, The (1995)	 Snow White and the Seven Dwarfs (1937)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Legends of the Fall (1994)	 Twister (1996)	 Raging Bull (1980)
Maltese Falcon, The (1941)	 Heavy Metal (1981)	 English Patient, The (1996)	 Army of Darkness (1993)	 Apartment, The (1960)	 Everyone Says I Love You (1996)	 Blues Brothers, The (1980)

755	 52	 272	 199	 939	 538	 648
Cinema Paradiso (1988)	 Legends of the Fall (1994)	 Supercop (1992)	 Legends of the Fall (1994)	 Legends of the Fall (1994)	 Supercop (1992)	 Everyone Says I Love You (1996)
Maltese Falcon, The (1941)	 GoodFellas (1990)	 Snow White and the Seven Dwarfs (1937)	 Supercop (1992)	 George of the Jungle (1997)	 Trainspotting (1996)	 What's Eating Gilbert Grape (1993)
Legends of the Fall (1994)	 Princess Bride, The (1987)	 Legends of the Fall (1994)	 Princess Bride, The (1987)	 Snow White and the Seven Dwarfs (1937)	 Priest (1994)	 Legends of the Fall (1994)
Heat (1995)	 Brazil (1985)	 Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)
Jack (1996)	 Raiders of the Lost Ark (1981)	 What's Eating Gilbert Grape (1993)	 Jack (1996)	 GoodFellas (1990)	 Wings of Desire (1987)	 3 Ninjas: High Noon At Mega Mountain (1998)
What's Eating Gilbert Grape (1993)	 Mighty Aphrodite (1995)	 Spawn (1997)	 Trainspotting (1996)	 Brazil (1985)	 2001: A Space Odyssey (1968)	 It Happened One Night (1934)
