546	 159	 196	 91	 914
What's Eating Gilbert Grape (1993)	 Jack (1996)	 Trainspotting (1996)	 What's Eating Gilbert Grape (1993)	 Devil's Advocate, The (1997)
Cinema Paradiso (1988)	 Local Hero (1983)	 Local Hero (1983)	 Snow White and the Seven Dwarfs (1937)	 It Happened One Night (1934)
Clockwork Orange, A (1971)	 What's Eating Gilbert Grape (1993)	 Clockwork Orange, A (1971)	 Spawn (1997)	 Critical Care (1997)
3 Ninjas: High Noon At Mega Mountain (1998)	 Heavy Metal (1981)	 Mr. Holland's Opus (1995)	 Everyone Says I Love You (1996)	 Trainspotting (1996)
Everyone Says I Love You (1996)	 Wings of Desire (1987)	 It Happened One Night (1934)	 Heavy Metal (1981)	 Nikita (La Femme Nikita) (1990)

363	 739	 920	 324	 67
Everyone Says I Love You (1996)	 Legends of the Fall (1994)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Mighty Aphrodite (1995)	 Legends of the Fall (1994)
Spawn (1997)	 Brazil (1985)	 Everyone Says I Love You (1996)	 Supercop (1992)	 What's Eating Gilbert Grape (1993)
What's Eating Gilbert Grape (1993)	 Princess Bride, The (1987)	 Heavy Metal (1981)	 What's Eating Gilbert Grape (1993)	 Mighty Aphrodite (1995)
Four Weddings and a Funeral (1994)	 Raiders of the Lost Ark (1981)	 Spawn (1997)	 Full Metal Jacket (1987)	 Princess Bride, The (1987)
Heat (1995)	 Jack (1996)	 Richard III (1995)	 Spawn (1997)	 Brazil (1985)
Snow White and the Seven Dwarfs (1937)	 Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)	 Legends of the Fall (1994)	 3 Ninjas: High Noon At Mega Mountain (1998)
Bringing Up Baby (1938)	 Everyone Says I Love You (1996)	 Snow White and the Seven Dwarfs (1937)	 Priest (1994)	 Snow White and the Seven Dwarfs (1937)
Supercop (1992)	 So I Married an Axe Murderer (1993)	 Heat (1995)	 Snow White and the Seven Dwarfs (1937)	 M*A*S*H (1970)
Local Hero (1983)	 Cinema Paradiso (1988)	 Bringing Up Baby (1938)	 Princess Bride, The (1987)	 Everyone Says I Love You (1996)
Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Local Hero (1983)	 Return of the Jedi (1983)	 GoodFellas (1990)

276	 426	 901	 645	 595
Legends of the Fall (1994)	 Priest (1994)	 Maltese Falcon, The (1941)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Everyone Says I Love You (1996)
Brazil (1985)	 Legends of the Fall (1994)	 Everyone Says I Love You (1996)	 Cable Guy, The (1996)	 It Happened One Night (1934)
What's Eating Gilbert Grape (1993)	 Aliens (1986)	 3 Ninjas: High Noon At Mega Mountain (1998)	 In & Out (1997)	 Snow White and the Seven Dwarfs (1937)
Everyone Says I Love You (1996)	 Princess Bride, The (1987)	 Brazil (1985)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)
Maltese Falcon, The (1941)	 Mighty Aphrodite (1995)	 Legends of the Fall (1994)	 M*A*S*H (1970)	 Mighty Aphrodite (1995)
3 Ninjas: High Noon At Mega Mountain (1998)	 First Wives Club, The (1996)	 So I Married an Axe Murderer (1993)	 Twister (1996)	 Local Hero (1983)
Mighty Aphrodite (1995)	 Platoon (1986)	 Akira (1988)	 Starship Troopers (1997)	 Heat (1995)
Cinema Paradiso (1988)	 Wag the Dog (1997)	 Wings of Desire (1987)	 Everyone Says I Love You (1996)	 Spawn (1997)
It Happened One Night (1934)	 Ulee's Gold (1997)	 Apartment, The (1960)	 Dances with Wolves (1990)	 Pump Up the Volume (1990)
Apartment, The (1960)	 Willy Wonka and the Chocolate Factory (1971)	 North by Northwest (1959)	 Brazil (1985)	 Cinema Paradiso (1988)

826	 917	 321	 833	 135
Four Weddings and a Funeral (1994)	 I.Q. (1994)	 What's Eating Gilbert Grape (1993)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Taxi Driver (1976)
Addams Family Values (1993)	 Cinema Paradiso (1988)	 Mighty Aphrodite (1995)	 Everyone Says I Love You (1996)	 3 Ninjas: High Noon At Mega Mountain (1998)
In & Out (1997)	 Maltese Falcon, The (1941)	 Brazil (1985)	 Maltese Falcon, The (1941)	 Brazil (1985)
Twister (1996)	 Supercop (1992)	 Dances with Wolves (1990)	 What's Eating Gilbert Grape (1993)	 Hot Shots! Part Deux (1993)
Cable Guy, The (1996)	 Legends of the Fall (1994)	 Legends of the Fall (1994)	 It Happened One Night (1934)	 Much Ado About Nothing (1993)
3 Ninjas: High Noon At Mega Mountain (1998)	 2001: A Space Odyssey (1968)	 Priest (1994)	 Local Hero (1983)	 What's Eating Gilbert Grape (1993)
Dances with Wolves (1990)	 Mighty Aphrodite (1995)	 Everyone Says I Love You (1996)	 Cinema Paradiso (1988)	 Everyone Says I Love You (1996)
Brazil (1985)	 Spawn (1997)	 Taxi Driver (1976)	 Mighty Aphrodite (1995)	 M*A*S*H (1970)
Taxi Driver (1976)	 English Patient, The (1996)	 Heat (1995)	 Harold and Maude (1971)	 Dances with Wolves (1990)
Dead Poets Society (1989)	 Snow White and the Seven Dwarfs (1937)	 Haunted World of Edward D. Wood Jr., The (1995)	 Supercop (1992)	 Cop Land (1997)

908	 818	 121	 126	 161
Mighty Aphrodite (1995)	 Mighty Aphrodite (1995)	 Marvin's Room (1996)	 Die Hard (1988)	 Supercop (1992)
French Twist (Gazon maudit) (1995)	 Cinema Paradiso (1988)	 Everyone Says I Love You (1996)	 Brazil (1985)	 Priest (1994)
Taxi Driver (1976)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)	 Taxi Driver (1976)	 Return of the Jedi (1983)
Batman Forever (1995)	 Taxi Driver (1976)	 Local Hero (1983)	 Legends of the Fall (1994)	 Ulee's Gold (1997)
What's Eating Gilbert Grape (1993)	 It Happened One Night (1934)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Full Metal Jacket (1987)
Snow White and the Seven Dwarfs (1937)	 Priest (1994)	 Snow White and the Seven Dwarfs (1937)	 GoodFellas (1990)	 Heavy Metal (1981)
Twister (1996)	 Usual Suspects, The (1995)	 Jack (1996)	 Princess Bride, The (1987)	 Blues Brothers, The (1980)
Die Hard (1988)	 Local Hero (1983)	 Mighty Aphrodite (1995)	 Much Ado About Nothing (1993)	 Right Stuff, The (1983)
Graduate, The (1967)	 Maltese Falcon, The (1941)	 It Happened One Night (1934)	 M*A*S*H (1970)	 Mighty Aphrodite (1995)
Raising Arizona (1987)	 Shining, The (1980)	 Heat (1995)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Rumble in the Bronx (1995)

238	 659	 293	 587	 704
Maltese Falcon, The (1941)	 Priest (1994)	 Supercop (1992)	 Priest (1994)	 Legends of the Fall (1994)
Cinema Paradiso (1988)	 What's Eating Gilbert Grape (1993)	 Priest (1994)	 French Twist (Gazon maudit) (1995)	 Brazil (1985)
Jack (1996)	 Spawn (1997)	 Maltese Falcon, The (1941)	 Dances with Wolves (1990)	 What's Eating Gilbert Grape (1993)
It Happened One Night (1934)	 Supercop (1992)	 Snow White and the Seven Dwarfs (1937)	 Doom Generation, The (1995)	 Princess Bride, The (1987)
Heavy Metal (1981)	 Heat (1995)	 Raging Bull (1980)	 Legends of the Fall (1994)	 3 Ninjas: High Noon At Mega Mountain (1998)
Everyone Says I Love You (1996)	 Snow White and the Seven Dwarfs (1937)	 Everyone Says I Love You (1996)	 Cable Guy, The (1996)	 GoodFellas (1990)
Trainspotting (1996)	 Everyone Says I Love You (1996)	 Spawn (1997)	 Get Shorty (1995)	 Taxi Driver (1976)
North by Northwest (1959)	 It Happened One Night (1934)	 Heavy Metal (1981)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Everyone Says I Love You (1996)
Shining, The (1980)	 Harold and Maude (1971)	 Pump Up the Volume (1990)	 Twister (1996)	 Mighty Aphrodite (1995)
Ulee's Gold (1997)	 Maltese Falcon, The (1941)	 Local Hero (1983)	 What's Eating Gilbert Grape (1993)	 Lawnmower Man, The (1992)

687	 942	 472	 727	 858
Mighty Aphrodite (1995)	 Legends of the Fall (1994)	 Dead Man Walking (1995)	 Maltese Falcon, The (1941)	 Legends of the Fall (1994)
Rumble in the Bronx (1995)	 Everyone Says I Love You (1996)	 Funeral, The (1996)	 Full Metal Jacket (1987)	 Mighty Aphrodite (1995)
Priest (1994)	 Maltese Falcon, The (1941)	 Billy Madison (1995)	 2001: A Space Odyssey (1968)	 Everyone Says I Love You (1996)
What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)	 Addams Family Values (1993)	 Supercop (1992)	 Maltese Falcon, The (1941)
Supercop (1992)	 Cinema Paradiso (1988)	 Philadelphia Story, The (1940)	 Better Off Dead... (1985)	 Vertigo (1958)
Nikita (La Femme Nikita) (1990)	 Brazil (1985)	 Celestial Clockwork (1994)	 Cinema Paradiso (1988)	 Princess Bride, The (1987)
Jack (1996)	 Jack (1996)	 Big Lebowski, The (1998)	 North by Northwest (1959)	 Wings of Desire (1987)
Trainspotting (1996)	 Princess Bride, The (1987)	 All Dogs Go to Heaven 2 (1996)	 Bad Moon (1996)	 What's Eating Gilbert Grape (1993)
It Happened One Night (1934)	 Clockwork Orange, A (1971)	 Lassie (1994)	 As Good As It Gets (1997)	 English Patient, The (1996)
Stand by Me (1986)	 Mighty Aphrodite (1995)	 Horseman on the Roof, The (Hussard sur le toit, Le) (1995)	 Trainspotting (1996)	 George of the Jungle (1997)

521	 608	 405	 496	 511
Everyone Says I Love You (1996)	 Priest (1994)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Gandhi (1982)	 3 Ninjas: High Noon At Mega Mountain (1998)
Marvin's Room (1996)	 Supercop (1992)	 Mighty Aphrodite (1995)	 Cinema Paradiso (1988)	 Brazil (1985)
Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)	 Brazil (1985)	 Taxi Driver (1976)	 Taxi Driver (1976)
Local Hero (1983)	 Spawn (1997)	 Taxi Driver (1976)	 What's Eating Gilbert Grape (1993)	 Raiders of the Lost Ark (1981)
Raging Bull (1980)	 Jack (1996)	 Raiders of the Lost Ark (1981)	 Mighty Aphrodite (1995)	 Legends of the Fall (1994)
What's Eating Gilbert Grape (1993)	 2001: A Space Odyssey (1968)	 Cinema Paradiso (1988)	 Brazil (1985)	 What's Eating Gilbert Grape (1993)
Snow White and the Seven Dwarfs (1937)	 Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)	 Great Dictator, The (1940)	 Everyone Says I Love You (1996)
Tomorrow Never Dies (1997)	 Trainspotting (1996)	 Heat (1995)	 Priest (1994)	 Hot Shots! Part Deux (1993)
Robert A. Heinlein's The Puppet Masters (1994)	 Snow White and the Seven Dwarfs (1937)	 M*A*S*H (1970)	 Heavy Metal (1981)	 Lawnmower Man, The (1992)
Deer Hunter, The (1978)	 Cinema Paradiso (1988)	 Legends of the Fall (1994)	 Dead Poets Society (1989)	 M*A*S*H (1970)

893	 274	 145	 68	 529
Supercop (1992)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Legends of the Fall (1994)	 Legends of the Fall (1994)
Maltese Falcon, The (1941)	 Mighty Aphrodite (1995)	 Brazil (1985)	 Mighty Aphrodite (1995)	 GoodFellas (1990)
Heavy Metal (1981)	 2001: A Space Odyssey (1968)	 Children of the Corn: The Gathering (1996)	 What's Eating Gilbert Grape (1993)	 Princess Bride, The (1987)
Army of Darkness (1993)	 Supercop (1992)	 Legends of the Fall (1994)	 Heat (1995)	 3 Ninjas: High Noon At Mega Mountain (1998)
Mighty Aphrodite (1995)	 It Happened One Night (1934)	 What's Eating Gilbert Grape (1993)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Brazil (1985)
Shining, The (1980)	 Cinema Paradiso (1988)	 Maltese Falcon, The (1941)	 Priest (1994)	 Mighty Aphrodite (1995)
Jack (1996)	 Legends of the Fall (1994)	 Raging Bull (1980)	 Everyone Says I Love You (1996)	 Raiders of the Lost Ark (1981)
So I Married an Axe Murderer (1993)	 Everyone Says I Love You (1996)	 Gone with the Wind (1939)	 Ulee's Gold (1997)	 What's Eating Gilbert Grape (1993)
Wings of Desire (1987)	 What's Eating Gilbert Grape (1993)	 Harold and Maude (1971)	 Cinema Paradiso (1988)	 M*A*S*H (1970)
Cinema Paradiso (1988)	 Full Metal Jacket (1987)	 Four Weddings and a Funeral (1994)	 Supercop (1992)	 Cinema Paradiso (1988)

745	 924	 473	 197	 938
Snow White and the Seven Dwarfs (1937)	 Mighty Aphrodite (1995)	 Mighty Aphrodite (1995)	 Everyone Says I Love You (1996)	 Legends of the Fall (1994)
Heavy Metal (1981)	 Legends of the Fall (1994)	 Priest (1994)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)
It Happened One Night (1934)	 Priest (1994)	 So I Married an Axe Murderer (1993)	 Marvin's Room (1996)	 Bringing Up Baby (1938)
Maltese Falcon, The (1941)	 Supercop (1992)	 Dances with Wolves (1990)	 Nikita (La Femme Nikita) (1990)	 Supercop (1992)
Mighty Aphrodite (1995)	 What's Eating Gilbert Grape (1993)	 Cinema Paradiso (1988)	 Children of the Corn: The Gathering (1996)	 Everyone Says I Love You (1996)
Blues Brothers, The (1980)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Raiders of the Lost Ark (1981)	 Spawn (1997)	 Jack (1996)
Cinema Paradiso (1988)	 Heat (1995)	 Dead Poets Society (1989)	 Gone with the Wind (1939)	 Brazil (1985)
Supercop (1992)	 Cinema Paradiso (1988)	 Starship Troopers (1997)	 Priest (1994)	 Mighty Aphrodite (1995)
Local Hero (1983)	 Ulee's Gold (1997)	 3 Ninjas: High Noon At Mega Mountain (1998)	 English Patient, The (1996)	 Maltese Falcon, The (1941)
3 Ninjas: High Noon At Mega Mountain (1998)	 Full Metal Jacket (1987)	 Everyone Says I Love You (1996)	 Snow White and the Seven Dwarfs (1937)	 Spawn (1997)

784	 15	 2	 151	 1
Legends of the Fall (1994)	 Heathers (1989)	 Legends of the Fall (1994)	 Priest (1994)	 Everyone Says I Love You (1996)
Cinema Paradiso (1988)	 Legends of the Fall (1994)	 Cinema Paradiso (1988)	 Legends of the Fall (1994)	 What's Eating Gilbert Grape (1993)
Ulee's Gold (1997)	 English Patient, The (1996)	 English Patient, The (1996)	 Princess Bride, The (1987)	 Maltese Falcon, The (1941)
Mighty Aphrodite (1995)	 Aliens (1986)	 Jack (1996)	 Supercop (1992)	 Mighty Aphrodite (1995)
Dances with Wolves (1990)	 Wrong Trousers, The (1993)	 Maltese Falcon, The (1941)	 First Wives Club, The (1996)	 It Happened One Night (1934)
Jack (1996)	 Mighty Aphrodite (1995)	 Haunted World of Edward D. Wood Jr., The (1995)	 Mighty Aphrodite (1995)	 Legends of the Fall (1994)
3 Ninjas: High Noon At Mega Mountain (1998)	 Jack (1996)	 I.Q. (1994)	 Full Monty, The (1997)	 Cinema Paradiso (1988)
Priest (1994)	 Cinema Paradiso (1988)	 Quiet Man, The (1952)	 What's Eating Gilbert Grape (1993)	 3 Ninjas: High Noon At Mega Mountain (1998)
Heavy Metal (1981)	 Better Off Dead... (1985)	 Brazil (1985)	 GoodFellas (1990)	 Jack (1996)
Supercop (1992)	 Harold and Maude (1971)	 Empire Strikes Back, The (1980)	 Maltese Falcon, The (1941)	 In the Name of the Father (1993)

782	 194	 700	 288	 440
Legends of the Fall (1994)	 Harold and Maude (1971)	 George of the Jungle (1997)	 Mighty Aphrodite (1995)	 Everyone Says I Love You (1996)
Supercop (1992)	 Bringing Up Baby (1938)	 So I Married an Axe Murderer (1993)	 Priest (1994)	 Maltese Falcon, The (1941)
Princess Bride, The (1987)	 It Happened One Night (1934)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Harold and Maude (1971)
Mr. Smith Goes to Washington (1939)	 Maltese Falcon, The (1941)	 Snow White and the Seven Dwarfs (1937)	 Everyone Says I Love You (1996)	 Gone with the Wind (1939)
Cinema Paradiso (1988)	 Nikita (La Femme Nikita) (1990)	 Touch of Evil (1958)	 Local Hero (1983)	 Mr. Holland's Opus (1995)
Brazil (1985)	 Shining, The (1980)	 Third Man, The (1949)	 Spawn (1997)	 North by Northwest (1959)
Jack (1996)	 Everyone Says I Love You (1996)	 Cinema Paradiso (1988)	 Taxi Driver (1976)	 Spawn (1997)
Heavy Metal (1981)	 Apartment, The (1960)	 English Patient, The (1996)	 Raiders of the Lost Ark (1981)	 It Happened One Night (1934)
Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Star Trek: First Contact (1996)	 Usual Suspects, The (1995)	 Local Hero (1983)
Apartment, The (1960)	 Local Hero (1983)	 Jack (1996)	 Platoon (1986)	 What's Eating Gilbert Grape (1993)

857	 824	 353	 933	 203
3 Ninjas: High Noon At Mega Mountain (1998)	 Priest (1994)	 Supercop (1992)	 Heavy Metal (1981)	 Virtuosity (1995)
Heat (1995)	 Supercop (1992)	 Snow White and the Seven Dwarfs (1937)	 Maltese Falcon, The (1941)	 Speed 2: Cruise Control (1997)
Mighty Aphrodite (1995)	 Everyone Says I Love You (1996)	 Brazil (1985)	 Jack (1996)	 Super Mario Bros. (1993)
What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)	 Silence of the Lambs, The (1991)	 Cinema Paradiso (1988)	 Mrs. Doubtfire (1993)
Spawn (1997)	 Jack (1996)	 Full Metal Jacket (1987)	 Wings of Desire (1987)	 City Slickers II: The Legend of Curly's Gold (1994)
Heavy Metal (1981)	 Spawn (1997)	 Army of Darkness (1993)	 2001: A Space Odyssey (1968)	 Coldblooded (1995)
Haunted World of Edward D. Wood Jr., The (1995)	 Wings of Desire (1987)	 Legends of the Fall (1994)	 Pump Up the Volume (1990)	 Wild Bill (1995)
As Good As It Gets (1997)	 Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)	 English Patient, The (1996)	 Billy Madison (1995)
Everyone Says I Love You (1996)	 Ulee's Gold (1997)	 Princess Bride, The (1987)	 Trainspotting (1996)	 Devil in a Blue Dress (1995)
Shining, The (1980)	 Nikita (La Femme Nikita) (1990)	 Alien (1979)	 Annie Hall (1977)	 High School High (1996)

139	 532	 744	 853	 781
Priest (1994)	 Everyone Says I Love You (1996)	 Heavy Metal (1981)	 What's Eating Gilbert Grape (1993)	 Legends of the Fall (1994)
What's Eating Gilbert Grape (1993)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Richard III (1995)	 Legends of the Fall (1994)	 GoodFellas (1990)
Everyone Says I Love You (1996)	 Heavy Metal (1981)	 Cinema Paradiso (1988)	 Mighty Aphrodite (1995)	 Brazil (1985)
Cinema Paradiso (1988)	 Maltese Falcon, The (1941)	 Jack (1996)	 Cinema Paradiso (1988)	 Princess Bride, The (1987)
Maltese Falcon, The (1941)	 Taxi Driver (1976)	 Phenomenon (1996)	 It Happened One Night (1934)	 Everyone Says I Love You (1996)
3 Ninjas: High Noon At Mega Mountain (1998)	 Shining, The (1980)	 Mighty Aphrodite (1995)	 Jack (1996)	 Citizen Kane (1941)
Snow White and the Seven Dwarfs (1937)	 What's Eating Gilbert Grape (1993)	 Ridicule (1996)	 Maltese Falcon, The (1941)	 Contact (1997)
Heavy Metal (1981)	 Tomorrow Never Dies (1997)	 English Patient, The (1996)	 Everyone Says I Love You (1996)	 3 Ninjas: High Noon At Mega Mountain (1998)
Jack (1996)	 Wings of Desire (1987)	 Maltese Falcon, The (1941)	 Heat (1995)	 Children of the Corn: The Gathering (1996)
Mighty Aphrodite (1995)	 Jack (1996)	 Supercop (1992)	 Apartment, The (1960)	 Gone with the Wind (1939)

245	 497	 865	 56	 576
Priest (1994)	 Priest (1994)	 Legends of the Fall (1994)	 Snow White and the Seven Dwarfs (1937)	 Mighty Aphrodite (1995)
Mr. Holland's Opus (1995)	 First Wives Club, The (1996)	 Brazil (1985)	 Full Metal Jacket (1987)	 Everyone Says I Love You (1996)
Richard III (1995)	 Raiders of the Lost Ark (1981)	 Everyone Says I Love You (1996)	 Supercop (1992)	 Robert A. Heinlein's The Puppet Masters (1994)
What's Eating Gilbert Grape (1993)	 Legends of the Fall (1994)	 Priest (1994)	 Everyone Says I Love You (1996)	 Dances with Wolves (1990)
2001: A Space Odyssey (1968)	 Disclosure (1994)	 Princess Bride, The (1987)	 What's Eating Gilbert Grape (1993)	 It Happened One Night (1934)
Everyone Says I Love You (1996)	 Cinema Paradiso (1988)	 Taxi Driver (1976)	 So I Married an Axe Murderer (1993)	 Dead Poets Society (1989)
Seven (Se7en) (1995)	 So I Married an Axe Murderer (1993)	 What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)	 Raiders of the Lost Ark (1981)
Maltese Falcon, The (1941)	 Mighty Aphrodite (1995)	 Dances with Wolves (1990)	 Spawn (1997)	 Dead Man Walking (1995)
Spawn (1997)	 My Left Foot (1989)	 Cinema Paradiso (1988)	 2001: A Space Odyssey (1968)	 Amadeus (1984)
George of the Jungle (1997)	 Full Monty, The (1997)	 GoodFellas (1990)	 Clockwork Orange, A (1971)	 Usual Suspects, The (1995)

240	 930	 699	 207	 524
English Patient, The (1996)	 Supercop (1992)	 Raiders of the Lost Ark (1981)	 Evita (1996)	 Legends of the Fall (1994)
Better Off Dead... (1985)	 Everyone Says I Love You (1996)	 Legends of the Fall (1994)	 Mighty Aphrodite (1995)	 Die Hard (1988)
D3: The Mighty Ducks (1996)	 What's Eating Gilbert Grape (1993)	 Princess Bride, The (1987)	 Heat (1995)	 Brazil (1985)
Heathers (1989)	 Spawn (1997)	 Seven (Se7en) (1995)	 Supercop (1992)	 Everyone Says I Love You (1996)
People vs. Larry Flynt, The (1996)	 Snow White and the Seven Dwarfs (1937)	 Robert A. Heinlein's The Puppet Masters (1994)	 Legends of the Fall (1994)	 Maltese Falcon, The (1941)
Paris Was a Woman (1995)	 So I Married an Axe Murderer (1993)	 Die Hard (1988)	 What's Eating Gilbert Grape (1993)	 Bringing Up Baby (1938)
Gattaca (1997)	 Full Metal Jacket (1987)	 Dances with Wolves (1990)	 Usual Suspects, The (1995)	 3 Ninjas: High Noon At Mega Mountain (1998)
Sneakers (1992)	 Mr. Smith Goes to Washington (1939)	 So I Married an Axe Murderer (1993)	 Priest (1994)	 It Happened One Night (1934)
Restoration (1995)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Harold and Maude (1971)
Cinema Paradiso (1988)	 Mighty Aphrodite (1995)	 Good Will Hunting (1997)	 Full Metal Jacket (1987)	 What's Eating Gilbert Grape (1993)

255	 247	 140	 103	 54
Brazil (1985)	 Legends of the Fall (1994)	 Supercop (1992)	 Jack (1996)	 3 Ninjas: High Noon At Mega Mountain (1998)
Legends of the Fall (1994)	 Blues Brothers, The (1980)	 What's Eating Gilbert Grape (1993)	 Cinema Paradiso (1988)	 Everyone Says I Love You (1996)
3 Ninjas: High Noon At Mega Mountain (1998)	 Empire Strikes Back, The (1980)	 As Good As It Gets (1997)	 Legends of the Fall (1994)	 Heavy Metal (1981)
Princess Bride, The (1987)	 Mighty Aphrodite (1995)	 Heavy Metal (1981)	 Maltese Falcon, The (1941)	 Heat (1995)
GoodFellas (1990)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Dances with Wolves (1990)	 What's Eating Gilbert Grape (1993)
Children of the Corn: The Gathering (1996)	 Clockwork Orange, A (1971)	 Mighty Aphrodite (1995)	 What's Eating Gilbert Grape (1993)	 Ulee's Gold (1997)
Taxi Driver (1976)	 Snow White and the Seven Dwarfs (1937)	 Maltese Falcon, The (1941)	 Brazil (1985)	 Maltese Falcon, The (1941)
Four Weddings and a Funeral (1994)	 Supercop (1992)	 Spawn (1997)	 Everyone Says I Love You (1996)	 English Patient, The (1996)
Bringing Up Baby (1938)	 It Happened One Night (1934)	 In the Name of the Father (1993)	 George of the Jungle (1997)	 Spawn (1997)
Dances with Wolves (1990)	 Right Stuff, The (1983)	 Heat (1995)	 Haunted World of Edward D. Wood Jr., The (1995)	 Harold and Maude (1971)

244	 577	 377	 168	 11
